Episode ,xVel,yVel,yawRate,pitchRate,zVel,rollRate,work,groundContact,tailStatus,baseReward,crash,simpleTrainingPenalties,yPos,orientation
Weights: ,1,0,0,0,0,0,0,0,0,0,0,0,0,1

Config:
keepBalance, "True"
RandomXVelocity, "True"
RandomYVelocity, "False"
RandomAngularVelocity, "False"
RandomStart, "True"
LongEpisodes, "False"
Swimming, "True"
Transition, "False"
Landing, "False"
2D, "False"
LegPhases, "False"
LegAmplitudes, "False"
LegRotations, "False"
SpinePhases, "True"
SpineAmplitudes, "True"
SpinePitch, "True"
Buoyancy, "True"
Tail, "True"
Analysis, "False"

Values:
2,4.604373,0,0,0,0,0,0,0,0,0,0,0,0,14.21138
2,5.342091,0,0,0,0,0,0,0,0,0,0,0,0,13.9633
2,11.45546,0,0,0,0,0,0,0,0,0,0,0,0,23.85843
2,5.9159,0,0,0,0,0,0,0,0,0,0,0,0,23.92174
2,9.379303,0,0,0,0,0,0,0,0,0,0,0,0,20.48492
2,12.40718,0,0,0,0,0,0,0,0,0,0,0,0,25.27975
2,10.64806,0,0,0,0,0,0,0,0,0,0,0,0,22.46292
2,8.338137,0,0,0,0,0,0,0,0,0,0,0,0,22.18917
2,6.051133,0,0,0,0,0,0,0,0,0,0,0,0,21.00745
2,11.58581,0,0,0,0,0,0,0,0,0,0,0,0,18.9628
2,7.473079,0,0,0,0,0,0,0,0,0,0,0,0,21.46132
2,8.169428,0,0,0,0,0,0,0,0,0,0,0,0,20.73353
2,7.554238,0,0,0,0,0,0,0,0,0,0,0,0,19.14485
2,9.546273,0,0,0,0,0,0,0,0,0,0,0,0,19.86937
2,17.1531,0,0,0,0,0,0,0,0,0,0,0,0,20.67619
2,9.469175,0,0,0,0,0,0,0,0,0,0,0,0,21.28105
2,7.278774,0,0,0,0,0,0,0,0,0,0,0,0,20.56676
2,9.542974,0,0,0,0,0,0,0,0,0,0,0,0,21.44264
2,7.510897,0,0,0,0,0,0,0,0,0,0,0,0,18.80112
2,12.23778,0,0,0,0,0,0,0,0,0,0,0,0,15.61687
2,6.726139,0,0,0,0,0,0,0,0,0,0,0,0,25.04829
2,11.91768,0,0,0,0,0,0,0,0,0,0,0,0,22.60821
2,7.975176,0,0,0,0,0,0,0,0,0,0,0,0,21.36376
2,8.668473,0,0,0,0,0,0,0,0,0,0,0,0,20.9025
2,12.89208,0,0,0,0,0,0,0,0,0,0,0,0,23.4692
2,3.5953,0,0,0,0,0,0,0,0,0,0,0,0,18.21763
2,8.604173,0,0,0,0,0,0,0,0,0,0,0,0,21.3974
2,9.4762,0,0,0,0,0,0,0,0,0,0,0,0,18.95292
2,9.963962,0,0,0,0,0,0,0,0,0,0,0,0,18.3083
2,10.47076,0,0,0,0,0,0,0,0,0,0,0,0,24.48688
